course_id,branch,track,course_title,difficulty_level,provider,format,description,skills_taught,tools_covered,prerequisite_course_title,estimated_hours,rating,num_reviews,career_paths,industry_sectors
EEE-0169,Electrical Engineering,Electromagnetics,Advanced Electromagnetics,Advanced,Udemy,Video Course,"This advanced course covers complex, industry-relevant topics in Electromagnetics, including optimization techniques, edge cases, and current best practices used in Electrical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",electrical machine design; plc programming; power system analysis; matlab simulink,pspice; matlab simulink; etap,Applied Electromagnetics,47,4.6,4403,automation engineer; electrical design engineer; energy consultant,manufacturing; renewable energy
CHE-0098,Chemical Engineering,Biochemical Engineering,Advanced Biochemical Engineering,Advanced,Pluralsight,Instructor-led Live,"This advanced course covers complex, industry-relevant topics in Biochemical Engineering, including optimization techniques, edge cases, and current best practices used in Chemical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",hazop analysis; reactor design; process control; heat balance,hysys; autocad p&id; comsol,Applied Biochemical Engineering,40,4.1,410,process engineer; plant engineer; refinery engineer,oil and gas; petrochemical
CIV-0135,Civil Engineering,Water Resources Engineering,Applied Water Resources Engineering,Intermediate,LinkedIn Learning,Interactive Lab,"Building on foundational knowledge, this course goes deeper into Water Resources Engineering, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Water Resources Engineering concepts to realistic scenarios.",soil testing; surveying; autocad; staad pro,primavera; revit; autocad,Introduction to Water Resources Engineering,38,4.0,4362,urban planner; geotechnical engineer; structural engineer,construction; government
PET-0172,Petroleum Engineering,Petroleum Data Analytics,Introduction to Petroleum Data Analytics,Beginner,edX,Blended (Video + Project),"This foundational course introduces the core concepts of Petroleum Data Analytics within Petroleum Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Petroleum Data Analytics is required, though general familiarity with Petroleum Engineering fundamentals is helpful.",reservoir simulation; drilling engineering analysis; petroleum economics; hse compliance,autocad; matlab; petrel,None,10,5.0,5722,drilling engineer; production engineer; hse engineer,engineering consulting; energy
IPE-0172,Industrial and Production Engineering,Digital Manufacturing,Introduction to Digital Manufacturing,Beginner,Pluralsight,Interactive Lab,"This foundational course introduces the core concepts of Digital Manufacturing within Industrial and Production Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Digital Manufacturing is required, though general familiarity with Industrial and Production Engineering fundamentals is helpful.",operations research; simulation modeling; lean manufacturing; erp systems,arena simulation; tableau; ms project,None,12,4.7,2054,process improvement engineer; quality engineer; operations manager,manufacturing; retail
BME-0100,Biomedical Engineering,Clinical Engineering,Clinical Engineering Capstone Project,Capstone,Coursera,Blended (Video + Project),"A project-based capstone course where learners apply everything covered across the Clinical Engineering track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",matlab; regulatory compliance; biomedical signal processing; biomechanics analysis,ansys; python; labview,Advanced Clinical Engineering,20,4.9,2640,clinical engineer; biomedical engineer; medical device engineer,research institutes; pharmaceutical
PET-0106,Petroleum Engineering,Reservoir Simulation,Applied Reservoir Simulation,Intermediate,Udemy,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Reservoir Simulation, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Reservoir Simulation concepts to realistic scenarios.",well log interpretation; reservoir simulation; hse compliance; petroleum economics,autocad; petrel; prosper,Introduction to Reservoir Simulation,25,4.3,2903,drilling engineer; hse engineer; petroleum geologist,engineering consulting; offshore drilling
EEE-0196,Electrical Engineering,Grid Integration,Applied Grid Integration,Intermediate,Udacity,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Grid Integration, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Grid Integration concepts to realistic scenarios.",circuit design; matlab simulink; plc programming; power system analysis,plc software; labview; etap,Introduction to Grid Integration,20,4.0,1793,electrical design engineer; control systems engineer; automation engineer,automotive; renewable energy
ENV-0149,Environmental Engineering,Soil Remediation,Advanced Soil Remediation,Advanced,FutureLearn,Video Course,"This advanced course covers complex, industry-relevant topics in Soil Remediation, including optimization techniques, edge cases, and current best practices used in Environmental Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",waste management planning; water quality analysis; sustainability reporting; environmental impact assessment,arcgis; surfer; matlab,Applied Soil Remediation,32,4.0,3168,sustainability consultant; environmental engineer; water resources engineer,construction; government
ECE-0195,Electronics & Communication Engineering,Radar Systems,Applied Radar Systems,Intermediate,LinkedIn Learning,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Radar Systems, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Radar Systems concepts to realistic scenarios.",embedded c; vhdl; circuit design; microcontroller programming,modelsim; keil; raspberry pi,Introduction to Radar Systems,26,4.0,5152,embedded systems engineer; rf engineer; vlsi design engineer,defense; consumer electronics
AER-0084,Aerospace Engineering,Aircraft Design,Applied Aircraft Design,Intermediate,Coursera,Interactive Lab,"Building on foundational knowledge, this course goes deeper into Aircraft Design, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Aircraft Design concepts to realistic scenarios.",cad modeling; aircraft structural analysis; matlab; orbital mechanics calculations,catia; stk; star-ccm+,Introduction to Aircraft Design,28,4.3,2363,propulsion engineer; aerospace design engineer; spacecraft systems engineer,aerospace; defense
AUT-0180,Automobile Engineering,Automotive Emissions Control,Automotive Emissions Control Capstone Project,Capstone,edX,Self-paced Reading,"A project-based capstone course where learners apply everything covered across the Automotive Emissions Control track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",cad modeling; battery management; vehicle dynamics analysis; automotive diagnostics,carsim; ansys; solidworks,Advanced Automotive Emissions Control,28,4.5,3207,automotive design engineer; automotive electronics engineer; chassis engineer,manufacturing; electric vehicles
AER-0137,Aerospace Engineering,Satellite Systems,Advanced Satellite Systems,Advanced,Pluralsight,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Satellite Systems, including optimization techniques, edge cases, and current best practices used in Aerospace Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",cad modeling; flight dynamics; aircraft structural analysis; cfd analysis,matlab; stk; star-ccm+,Applied Satellite Systems,42,3.9,673,propulsion engineer; avionics engineer; cfd analyst,space technology; defense
BME-0127,Biomedical Engineering,Drug Delivery Systems,Advanced Drug Delivery Systems,Advanced,Coursera,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Drug Delivery Systems, including optimization techniques, edge cases, and current best practices used in Biomedical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",biomechanics analysis; regulatory compliance; biomedical signal processing; medical device design,labview; python; ansys,Applied Drug Delivery Systems,46,4.4,3814,clinical engineer; regulatory affairs specialist; medical device engineer,research institutes; healthcare
ECE-0106,Electronics & Communication Engineering,Optical Communication,Applied Optical Communication,Intermediate,Coursera,Self-paced Reading,"Building on foundational knowledge, this course goes deeper into Optical Communication, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Optical Communication concepts to realistic scenarios.",microcontroller programming; vhdl; embedded c; signal processing,arduino; modelsim; keil,Introduction to Optical Communication,26,4.0,5874,iot developer; communication systems engineer; rf engineer,semiconductor; defense
AER-0083,Aerospace Engineering,Aircraft Design,Introduction to Aircraft Design,Beginner,Coursera,Interactive Lab,"This foundational course introduces the core concepts of Aircraft Design within Aerospace Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Aircraft Design is required, though general familiarity with Aerospace Engineering fundamentals is helpful.",cad modeling; flight dynamics; orbital mechanics calculations; cfd analysis,star-ccm+; matlab; stk,None,12,3.8,3985,avionics engineer; aerospace design engineer; spacecraft systems engineer,aerospace; space technology
CHE-0048,Chemical Engineering,Reaction Engineering,Advanced Reaction Engineering,Advanced,Pluralsight,Blended (Video + Project),"This advanced course covers complex, industry-relevant topics in Reaction Engineering, including optimization techniques, edge cases, and current best practices used in Chemical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",hazop analysis; process control; reactor design; aspen plus,autocad p&id; matlab; hysys,Applied Reaction Engineering,52,4.3,3786,chemical process consultant; process engineer; plant engineer,oil and gas; pharmaceutical
AUT-0018,Automobile Engineering,Engine Design,Advanced Engine Design,Advanced,LinkedIn Learning,Interactive Lab,"This advanced course covers complex, industry-relevant topics in Engine Design, including optimization techniques, edge cases, and current best practices used in Automobile Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",cad modeling; automotive diagnostics; engine design; battery management,matlab; ansys; catia,Applied Engine Design,32,4.0,1903,automotive electronics engineer; chassis engineer; vehicle testing engineer,automotive; logistics
ECE-0028,Electronics & Communication Engineering,Signal Processing,Advanced Signal Processing,Advanced,Coursera,Blended (Video + Project),"This advanced course covers complex, industry-relevant topics in Signal Processing, including optimization techniques, edge cases, and current best practices used in Electronics & Communication Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",circuit design; verilog; pcb design; microcontroller programming,arduino; cadence; altium designer,Applied Signal Processing,55,4.7,1397,communication systems engineer; embedded systems engineer; vlsi design engineer,telecommunications; defense
BME-0010,Biomedical Engineering,Biomechanics,Biomechanics Capstone Project,Capstone,edX,Blended (Video + Project),"A project-based capstone course where learners apply everything covered across the Biomechanics track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",biomechanics analysis; biomedical signal processing; medical device design; matlab,ansys; matlab; python,Advanced Biomechanics,16,4.7,451,biomedical engineer; regulatory affairs specialist; clinical engineer,pharmaceutical; medical devices
PET-0173,Petroleum Engineering,Petroleum Data Analytics,Introduction to Petroleum Data Analytics,Beginner,Coursera,Video Course,"This foundational course introduces the core concepts of Petroleum Data Analytics within Petroleum Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Petroleum Data Analytics is required, though general familiarity with Petroleum Engineering fundamentals is helpful.",drilling engineering analysis; petroleum economics; reservoir simulation; hse compliance,petrel; eclipse; prosper,None,20,3.7,4928,reservoir engineer; hse engineer; drilling engineer,offshore drilling; oil and gas
PET-0030,Petroleum Engineering,Petroleum Geology,Petroleum Geology Capstone Project,Capstone,edX,Instructor-led Live,"A project-based capstone course where learners apply everything covered across the Petroleum Geology track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",well log interpretation; petroleum economics; reservoir simulation; hse compliance,autocad; prosper; matlab,Advanced Petroleum Geology,29,3.9,379,hse engineer; petroleum geologist; drilling engineer,energy; engineering consulting
PET-0103,Petroleum Engineering,Reservoir Simulation,Introduction to Reservoir Simulation,Beginner,NPTEL,Blended (Video + Project),"This foundational course introduces the core concepts of Reservoir Simulation within Petroleum Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Reservoir Simulation is required, though general familiarity with Petroleum Engineering fundamentals is helpful.",well log interpretation; reservoir simulation; drilling engineering analysis; hse compliance,matlab; prosper; petrel,None,20,4.3,3210,production engineer; drilling engineer; petroleum geologist,engineering consulting; oil and gas
PET-0131,Petroleum Engineering,Petroleum Refining,Introduction to Petroleum Refining,Beginner,Udacity,Self-paced Reading,"This foundational course introduces the core concepts of Petroleum Refining within Petroleum Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Petroleum Refining is required, though general familiarity with Petroleum Engineering fundamentals is helpful.",well log interpretation; reservoir simulation; drilling engineering analysis; petroleum economics,petrel; eclipse; matlab,None,11,4.0,1459,production engineer; petroleum geologist; hse engineer,energy; offshore drilling
PET-0147,Petroleum Engineering,Health Safety and Environment,Advanced Health Safety and Environment,Advanced,Coursera,Self-paced Reading,"This advanced course covers complex, industry-relevant topics in Health Safety and Environment, including optimization techniques, edge cases, and current best practices used in Petroleum Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",petroleum economics; well log interpretation; drilling engineering analysis; reservoir simulation,eclipse; autocad; petrel,Applied Health Safety and Environment,53,3.6,611,petroleum geologist; production engineer; hse engineer,oil and gas; energy
CIV-0109,Civil Engineering,Building Information Modeling,Advanced Building Information Modeling,Advanced,Coursera,Self-paced Reading,"This advanced course covers complex, industry-relevant topics in Building Information Modeling, including optimization techniques, edge cases, and current best practices used in Civil Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",project scheduling; cost estimation; staad pro; surveying,etabs; sap2000; ms project,Applied Building Information Modeling,55,4.1,1606,construction manager; urban planner; geotechnical engineer,construction; real estate
MEC-0084,Mechanical Engineering,Automotive Systems,Applied Automotive Systems,Intermediate,Pluralsight,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Automotive Systems, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Automotive Systems concepts to realistic scenarios.",gd&t; solidworks; thermodynamic analysis; project management,abaqus; autocad; solidworks,Introduction to Automotive Systems,22,4.9,1451,automotive engineer; hvac engineer; manufacturing engineer,aerospace; consumer goods
IPE-0064,Industrial and Production Engineering,Production Planning and Control,Applied Production Planning and Control,Intermediate,Pluralsight,Blended (Video + Project),"Building on foundational knowledge, this course goes deeper into Production Planning and Control, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Production Planning and Control concepts to realistic scenarios.",six sigma; simulation modeling; lean manufacturing; supply chain analysis,sap; minitab; excel,Introduction to Production Planning and Control,21,4.9,1799,process improvement engineer; industrial engineer; operations manager,manufacturing; retail
AUT-0068,Automobile Engineering,Automotive Manufacturing,Advanced Automotive Manufacturing,Advanced,edX,Instructor-led Live,"This advanced course covers complex, industry-relevant topics in Automotive Manufacturing, including optimization techniques, edge cases, and current best practices used in Automobile Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",battery management; vehicle dynamics analysis; automotive diagnostics; engine design,matlab; ansys; solidworks,Applied Automotive Manufacturing,53,4.6,4526,automotive electronics engineer; chassis engineer; automotive design engineer,manufacturing; electric vehicles
ENV-0052,Environmental Engineering,Environmental Monitoring,Introduction to Environmental Monitoring,Beginner,Coursera,Video Course,"This foundational course introduces the core concepts of Environmental Monitoring within Environmental Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Environmental Monitoring is required, though general familiarity with Environmental Engineering fundamentals is helpful.",waste management planning; water quality analysis; environmental impact assessment; sustainability reporting,autocad civil 3d; arcgis; surfer,None,17,4.3,1479,environmental engineer; environmental analyst; sustainability consultant,consulting; construction
AUT-0186,Automobile Engineering,Connected Vehicle Technology,Applied Connected Vehicle Technology,Intermediate,edX,Instructor-led Live,"Building on foundational knowledge, this course goes deeper into Connected Vehicle Technology, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Connected Vehicle Technology concepts to realistic scenarios.",cad modeling; automotive diagnostics; vehicle dynamics analysis; battery management,carsim; matlab; catia,Introduction to Connected Vehicle Technology,35,3.7,143,chassis engineer; automotive electronics engineer; automotive design engineer,logistics; manufacturing
EEE-0111,Electrical Engineering,Energy Storage Systems,Introduction to Energy Storage Systems,Beginner,LinkedIn Learning,Blended (Video + Project),"This foundational course introduces the core concepts of Energy Storage Systems within Electrical Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Energy Storage Systems is required, though general familiarity with Electrical Engineering fundamentals is helpful.",power system analysis; electrical machine design; circuit design; protection relay coordination,matlab simulink; pspice; labview,None,18,4.9,400,automation engineer; control systems engineer; electrical design engineer,renewable energy; power and energy
AER-0096,Aerospace Engineering,Rocket Propulsion,Applied Rocket Propulsion,Intermediate,Udacity,Self-paced Reading,"Building on foundational knowledge, this course goes deeper into Rocket Propulsion, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Rocket Propulsion concepts to realistic scenarios.",matlab; cad modeling; aircraft structural analysis; cfd analysis,catia; matlab; stk,Introduction to Rocket Propulsion,31,4.8,4413,aerospace design engineer; propulsion engineer; spacecraft systems engineer,aerospace; space technology
IPE-0026,Industrial and Production Engineering,Lean Manufacturing,Applied Lean Manufacturing,Intermediate,FutureLearn,Video Course,"Building on foundational knowledge, this course goes deeper into Lean Manufacturing, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Lean Manufacturing concepts to realistic scenarios.",operations research; supply chain analysis; six sigma; lean manufacturing,arena simulation; minitab; ms project,Introduction to Lean Manufacturing,37,4.8,502,supply chain analyst; process improvement engineer; operations manager,manufacturing; consumer goods
AER-0103,Aerospace Engineering,Unmanned Aerial Vehicles,Introduction to Unmanned Aerial Vehicles,Beginner,FutureLearn,Blended (Video + Project),"This foundational course introduces the core concepts of Unmanned Aerial Vehicles within Aerospace Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Unmanned Aerial Vehicles is required, though general familiarity with Aerospace Engineering fundamentals is helpful.",cfd analysis; flight dynamics; matlab; orbital mechanics calculations,star-ccm+; nastran; ansys fluent,None,15,4.7,5469,spacecraft systems engineer; avionics engineer; propulsion engineer,defense; aerospace
EEE-0007,Electrical Engineering,Circuit Analysis,Advanced Circuit Analysis,Advanced,edX,Instructor-led Live,"This advanced course covers complex, industry-relevant topics in Circuit Analysis, including optimization techniques, edge cases, and current best practices used in Electrical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",plc programming; power system analysis; protection relay coordination; matlab simulink,etap; autocad electrical; plc software,Applied Circuit Analysis,32,4.7,3502,electrical design engineer; power systems engineer; automation engineer,power and energy; automotive
ECE-0076,Electronics & Communication Engineering,Antenna Design,Applied Antenna Design,Intermediate,Coursera,Interactive Lab,"Building on foundational knowledge, this course goes deeper into Antenna Design, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Antenna Design concepts to realistic scenarios.",microcontroller programming; circuit design; embedded c; signal processing,matlab; keil; modelsim,Introduction to Antenna Design,37,4.2,5530,vlsi design engineer; rf engineer; embedded systems engineer,automotive; consumer electronics
EEE-0187,Electrical Engineering,Electric Vehicle Technology,Advanced Electric Vehicle Technology,Advanced,Coursera,Blended (Video + Project),"This advanced course covers complex, industry-relevant topics in Electric Vehicle Technology, including optimization techniques, edge cases, and current best practices used in Electrical Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",plc programming; protection relay coordination; matlab simulink; power system analysis,autocad electrical; labview; pspice,Applied Electric Vehicle Technology,40,4.5,453,control systems engineer; electrical design engineer; power systems engineer,renewable energy; manufacturing
CIV-0004,Civil Engineering,Structural Analysis,Applied Structural Analysis,Intermediate,Coursera,Interactive Lab,"Building on foundational knowledge, this course goes deeper into Structural Analysis, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Structural Analysis concepts to realistic scenarios.",project scheduling; autocad; structural analysis; concrete design,staad pro; etabs; primavera,Introduction to Structural Analysis,33,4.4,5507,geotechnical engineer; construction manager; transportation engineer,real estate; urban development
AER-0138,Aerospace Engineering,Satellite Systems,Advanced Satellite Systems,Advanced,FutureLearn,Blended (Video + Project),"This advanced course covers complex, industry-relevant topics in Satellite Systems, including optimization techniques, edge cases, and current best practices used in Aerospace Engineering. Designed for learners with solid intermediate knowledge, it emphasizes independent problem-solving and real-world case studies.",cad modeling; flight dynamics; matlab; cfd analysis,catia; matlab; stk,Applied Satellite Systems,37,3.9,3827,propulsion engineer; cfd analyst; aerospace design engineer,defense; aerospace
PET-0161,Petroleum Engineering,Unconventional Resources,Introduction to Unconventional Resources,Beginner,NPTEL,Instructor-led Live,"This foundational course introduces the core concepts of Unconventional Resources within Petroleum Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Unconventional Resources is required, though general familiarity with Petroleum Engineering fundamentals is helpful.",hse compliance; well log interpretation; reservoir simulation; drilling engineering analysis,eclipse; petrel; prosper,None,19,3.9,744,production engineer; hse engineer; petroleum geologist,energy; oil and gas
ECE-0110,Electronics & Communication Engineering,Optical Communication,Optical Communication Capstone Project,Capstone,NPTEL,Instructor-led Live,"A project-based capstone course where learners apply everything covered across the Optical Communication track to design, build, and document a complete engineering solution. Learners work through the full problem-solving lifecycle from requirements to a final deliverable, suitable for a portfolio.",verilog; circuit design; microcontroller programming; signal processing,altium designer; keil; matlab,Advanced Optical Communication,28,3.9,4328,embedded systems engineer; communication systems engineer; vlsi design engineer,defense; semiconductor
MEC-0012,Mechanical Engineering,Fluid Mechanics,Introduction to Fluid Mechanics,Beginner,Coursera,Interactive Lab,"This foundational course introduces the core concepts of Fluid Mechanics within Mechanical Engineering. Learners build a working understanding of key principles, terminology, and basic tools used in the field, with hands-on exercises to reinforce each concept. No prior experience in Fluid Mechanics is required, though general familiarity with Mechanical Engineering fundamentals is helpful.",thermodynamic analysis; fea simulation; autocad; gd&t,catia; matlab; abaqus,None,10,4.2,1150,hvac engineer; quality engineer; mechanical design engineer,consumer goods; heavy machinery
CIV-0164,Civil Engineering,Construction Materials,Applied Construction Materials,Intermediate,LinkedIn Learning,Self-paced Reading,"Building on foundational knowledge, this course goes deeper into Construction Materials, covering applied techniques, common industry tools, and problem-solving approaches used by practicing engineers. Learners complete guided exercises and a mini-project to apply Construction Materials concepts to realistic scenarios.",soil testing; project scheduling; concrete design; surveying,primavera; ms project; revit,Introduction to Construction Materials,33,4.1,938,urban planner; transportation engineer; construction manager,urban development; government
